captura,precio,agencia,aseos,zona,superficie,habitaciones,gastos,extras
2024-09-06,126640.0,Plusvalia,2.0,"Cumbayá, Quito QHHV+GVM Quito, cumbaya",,,,"parqueadero, parqueadero, -gimnasio, -piscina, -piscina, -piscina, seguridad, Ascensor, Seguridad, parqueadero, estacionamiento"
2024-09-06,179000.0,Plusvalia,1.0,"República de El Salvador, Quito Av. República de El Salvador y Suiza",73.0,2.0,,"vista, Club, club, club, espacio, gimnasio, terraza, Espacio, esparcimiento, terraza, terraza, Solarium, ascensor, Seguridad, estacionamiento, estacionamiento"
2024-09-06,194000.0,Plusvalia,3.0,"Centro Norte, Quito Calle El Batán y Eloy Alfaro",,3.0,228.0,"Supercines, Garaje, seguridad, gimnasio, jacuzzi, estacionamiento"
2024-09-06,430000.0,Plusvalia,3.0,"Cumbayá, Quito Cumbaya",410.0,3.0,,"vista, terraza, terraza, Vista, balcón, balcón, parqueadero, estacionamiento"
2024-09-06,235000.0,Plusvalia,2.0,"Cumbayá, Quito Cumbayá Francisco de Orellana",240.0,2.0,,"terraza, terraza, parqueadero, Seguridad, seguridad, estacionamiento"
2024-09-06,279000.0,Plusvalia,2.0,"Centro Norte, Quito Departamento Venta Atelier 3 Dormitorios",150.0,3.0,85.0,"vista, AmericanaBalcón, parqueos1, piscinaárea, sauna, adultoscineárea, estacionamiento"
2024-09-06,169900.0,Plusvalia,1.0,"Ponceano, Quito Mariano Paredes y Tadeo Benítez",163.0,3.0,20.0,"Balcón, parqueadero, espacio, cine, Seguridad, estacionamiento"
2024-09-06,99700.0,Plusvalia,2.0,"Mariana de Jesús, Quito nuño de valderrama y mariana de jesus",133.0,3.0,137.0,"vista, vista, parque, Vista, vista, espacio, espacio, Espaciosa, espacio, gimnasio, parqueo, espacio, vista, VistaEspectacular, estacionamiento"
2024-09-06,105000.0,Plusvalia,2.0,"La Carolina, Quito Av. Eloy Alfaro",105.0,2.0,115.0,"terraza, parqueadero, espacio, terraza, terraza, terrazar, parqueadero, estacionamiento"
2024-09-06,339000.0,Plusvalia,2.0,"Cumbayá, Quito CITE CENTER",300.0,2.0,70.0,"balcón, piscina, parqueadero, estacionamiento"
2024-09-06,199987.0,Plusvalia,2.0,"Cumbayá, Quito INTERVALLES",167.0,2.0,,"jardín, jardín, vista, jardín, parqueadero, Parqueadero, estacionamiento"
2024-09-06,95000.0,Plusvalia,2.0,"Cumbayá, Quito Vendo Suite en Proyecto con la Mejor Ubicación Estratégica en el Sector de Cumbayá",61.0,1.0,1.0,"jardín, m2jardín, Parqueaderos, visitasBodegasTerraza, mascotasgimnasio, espacio"
2024-09-06,269999.0,Plusvalia,2.0,"Centro de Quito, Quito CATALINA ALDAS Y PORTUGAL",155.0,4.0,,"estacionamiento, piscina, cine"
2024-09-06,285000.0,Plusvalia,,"Cumbayá, Quito Renta O Venta  Departamento 3 Dormitorios - Cumbayá",170.0,3.0,,"seguridad, parque, club, balcón*cocín, Balcón, vista, parqueaderos, golf*Cines, club*Teens, Yoga*Spa, Sauna, Jacuzzi, piscinas*gimnasio, spa*solárium*salón"
2024-09-06,146837.0,Plusvalia,,"Cumbayá, Quito General Eloy Alfaro Cumbaya a Pocos Minutos del Paseo",100.0,2.0,,"terraza, jardín, jacuzzi, terraza23, jardín$146, terraza$164"
